Run	Dataset1	Dataset2	Phonological	Syntactic	Geographic	Genetic	Inventory	Featural	Entropy_pretrain_train	Entropy_pretrain_test	Entropy_pretrain_dev	Pretrain Training set size	Finetune Training set size	Total Size	KL_train	KL_test	KL_dev	UniqueLabels_finetune_test	UniqueLabels_pretrain_test	Formalism	Genre overlap	Formality overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats	Model Percentage Gain	Model gains	Model absolute
0	eng.rst.gum	spa.rst.sctb	0.34	0.4	0.1	0.9	0.55	0.5	9.35	7.48	7.48	13897.0	439.0	14336.0	3.067618	4.829539	4.482827	19.0	23.0	1.0	1.0	2.0	7.71	8.43	13.2	19.95	0.0	0.0	17.808219178082176	8.176100628930811	54.088050314465406
0	eng.rst.gum	tur.pdtb.tdb	0.34	0.7	0.1	1.0	0.52	0.6	9.35	7.48	7.48	13897.0	2451.0	16348.0	12.704441	12.834289	12.641144	22.0	23.0	0.0	1.0	1.0	7.71	0.0	0.0	19.95	12.59	0.0	22.448979591836746	7.819905213270147	42.65402843601896
0	eng.rst.gum	zho.rst.sctb	0.57	0.57	1.0	1.0	0.6	0.6	9.35	7.48	7.48	13897.0	439.0	14336.0	3.076918	4.623221	4.716801	20.0	23.0	1.0	1.0	2.0	7.71	8.43	13.2	19.95	0.0	0.0	19.71830985915493	8.80503144654088	53.459119496855344
0	eng.rst.rstdt	deu.rst.pcc	0.33	0.42	0.1	0.43	0.44	0.4	9.43	7.41	7.13	16002.0	2164.0	18166.0	5.061162	5.489218	5.25429	24.0	17.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	46.341463414634156	7.307692307692308	23.076923076923077
0	eng.rst.rstdt	eng.pdtb.pdtb	0.0	0.0	0.0	0.0	0.0	0.0	9.43	7.41	7.13	16002.0	43920.0	59922.0	13.567425	13.476797	13.628853	23.0	17.0	0.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	2.792553191489354	1.8608772707133312	68.49800620292423
0	eng.rst.rstdt	eng.rst.gum	0.0	0.0	0.0	0.0	0.0	0.0	9.43	7.41	7.13	16002.0	13897.0	29899.0	2.396905	2.354014	2.44339	23.0	17.0	1.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	6.810035842293917	3.6346245815399385	57.00621712099474
0	eng.rst.rstdt	eng.rst.rstdt	0.0	0.0	0.0	0.0	0.0	0.0	9.43	7.41	7.13	16002.0	16002.0	32004.0	0.0	0.0	0.0	17.0	17.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.995359628770295
0	eng.rst.rstdt	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	9.43	7.41	7.13	16002.0	9580.0	25582.0	13.567835	13.477248	13.629106	16.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.86746987951806	7.417218543046353	51.39072847682119
0	eng.rst.rstdt	fas.rst.prstc	0.57	0.9	0.5	1.0	0.57	0.7	9.43	7.41	7.13	16002.0	4100.0	20102.0	0.511836	0.359653	0.482321	16.0	17.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	27.5	9.29054054054054	43.07432432432432
0	eng.rst.rstdt	fra.sdrt.annodis	0.43	0.46	0.0	0.9	0.48	0.5	9.43	7.41	7.13	16002.0	2185.0	18187.0	4.53724	4.754947	4.500601	18.0	17.0	0.0	1.0	2.0	39.63	0.0	0.0	0.0	0.0	0.0	29.126213592232993	9.599999999999994	42.559999999999995
0	eng.rst.rstdt	nld.rst.nldt	0.57	0.49	0.0	0.6	0.49	0.5	9.43	7.41	7.13	16002.0	1608.0	17610.0	4.45082	4.765809	4.764478	29.0	17.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.333333333333346	2.760736196319023	35.88957055214724
0	eng.rst.rstdt	por.rst.cstn	0.57	0.47	0.1	0.9	0.42	0.5	9.43	7.41	7.13	16002.0	4148.0	20150.0	2.920171	4.03916	3.77618	21.0	17.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	7.499999999999991	4.411764705882348	63.23529411764706
0	eng.rst.rstdt	rus.rst.rrt	0.28	0.49	0.2	0.9	0.56	0.5	9.43	7.41	7.13	16002.0	28822.0	44824.0	2.056016	2.202028	2.17054	20.0	17.0	1.0	1.0	2.0	33.82	0.0	0.0	0.0	0.0	0.0	2.792956891317539	1.6180091452690775	59.54977136827295
